text,label
COMPLAININGO F HEAD HURTS,Headache
Feeling of feverish throughout the day,Fever
I can't shake this hot forehead,Fever
Lately I have constipation,Constipation
My problem is fatigue,Fatigue
Is ear hurts something to worr yabout?,Earache
"Doctor, I have constipation",Constipation
feel like throwing up,Nausea
My belly pain is getting unbearable,Abdominal Pain
Mild mirgaine,Headache
Is can't breathe something to worry about?,Shortness of Breath
Can you help with allergic reaction?,Allergies
Sudden cool,Non-Medical
I've been having stomach upset,Nausea
I woke up wtih pain in my skull,Headache
Sever ehigh temp,Fever
It started as a pain in my gut but now it's worse,Abdominal Pain
my tickle in throat is getting unbearable,Cough
Mild knees hurt,Joint Pain
Dealing with feel sick,Nausea
CHRONIC FEELING EFFICIENT,Anxiety
Recurring can' tpoop every morning,Constipation
My eye hurts is getting unbearable,Eye Pain
"Help, I have shivering",Fever
RECURRING FREQUENT BATHROOM TRIPS EVERY MORNING,Diarrhea
Can you help with sharp pain in chest?,Chest Pain
Complaining of blurry vision,Eye Pain
Is itchy skin something to worry abuot?,Skin Rash
I have vision problems,Eye Pain
I am experiencing feeling hot,Fever
It started as a arthritis pain but now it's worse,Joint Pain
I have belly pain,Abdominal Pain
I've been having pain in totoh,Toothache
"Doctor, I have can't sleep",Insomnia
I woke up with tell me a joke,Non-Medical
Not sure if it is pain in ear or something else,Earache
Mild head hurts,Headache
I've been having urge t ovomit,Nausea
I have been dealing with room is spinning for a week,Dizziness
My vertigo is getting unbearable,Dizziness
My problem is dry cough,Cough
Is burned myself somehting to worry about?,Burn
Suffering from dry cough for 3 days,Cough
I think I have lightheaded,Dizziness
I thnik I have frequent bathroom trips,Diarrhea
Mild zits,Acne
Sudden can't stop coughing,Cough
I hav ebeen dealing with touched something hot for a week,Burn
I am experiencing pimples,Acne
Can you help with sleepy all the time?,Fatigue
I think I have elbows ache,Joint Pain
Do you think temperature is high is serious?,Fever
Not sure if it is exhausted or something else,Fatigue
Complianing of wound,Cut
Constant rash keeps me awake,Skin Rash
LATELY I HAVE HTO FOREHEAD,Fever
My vertigo isg etting unbearable,Dizziness
Lately I have pain in ear,Earache
i have spots on face,Acne
DO YOU THINK CHEST FEELS TIGHT IS SERIOUS?,Shortness of Breath
Constant gasping for air keeps mea wake,Shortness of Breath
Can you help with itchy eyes?,Eye Pain
I can' tshake this spine hurts,Back Pain
Mild allergic reaction,Allergies
My feeling weak is getting unbearable,Fatigue
Do you think spots on face is serious?,Acne
I've been having blocked aer,Earache
I woke up with exhausted,Fatigue
Please tell me what to do about pain in my back,Back Pain
I think I ahve joint pain,Joint Pain
My cut my finger is getting unbearable,Cut
Please tell me what to do about dizzy head,Headache
"Help, I have breathless",Shortness of Breath
Comlpaining of tight chest,Chest Pain
Chronic stiff back,Back Pain
I woke up with pounding head,Headache
redness on skin,Skin Rash
I think I have bad cough,Cough
Chronic feeling hot,Fever
It feels like eye hurts,Eye Pain
Sudden rash,Skin Rash
Constant blurry vision keeps me awake,Eye Pain
My problem is touched something hot,Burn
Complaining of throbbing in my head,Headache
Sevree toothache,Toothache
I have okay,Non-Medical
Suffering from pressure in chest for 3 days,Chest Pain
Not sure if it is hard to breathe or something else,Shortness of Breath
Severe runny tummy,Diarrhea
Cosntant lethargic keeps me awake,Fatigue
Ih ave can't sleep,Insomnia
I have pounding head,Headache
aLtely I have panicking,Anxiety
My problem is runny tummy,Diarrhea
I woke up with hard to breathe,Shortness of Breath
Suffering from back hurts for 3 days,Back Pain
Lately I have anxious,Anxiety
Constant upset stomach keeps me awake,Diarrhea
I can't shake this chest hurts,Chest Pain
"DOCTOR, I HAVE BLEEDIGN",Cut
I woke up with belly pain,Abdominal Pain
it started as a short of breath butn ow it's worse,Shortness of Breath
depressde,Depression
my hard to breathe is getting unbearable,Shortness of Breath
Sufferingf rom skin breakout,Skin Rash
Cosntant cut myself keeps me awake,Cut
Complaining of coughing,Cough
Dealing wiht no energy,Fatigue
Not sure if it is pain in ear or somethin gelse,Earache
Is fatigeu something to worry about?,Fatigue
paini n my joints,Joint Pain
It started as a crying a lot but now it's worse,Depression
dealing with head hurts,Headache
Chronic worried scik,Anxiety
"Help, I have minor burn",Burn
Please tell me what to do about cut myself,Cut
I hav ebeen dealing with can't poop for a week,Constipation
Suffering from ear hurts,Earache
i've been having itchy eyes,Eye Pain
I can't shake this skin breakuot,Skin Rash
I've been having abdominal pain,Abdominal Pain
constant abdominal pain keeps me awake,Abdominal Pain
Feeling of skin breakout throughout the day,Skin Rash
My sunburn is getting unberaable,Burn
I have what is your name,Non-Medical
NO MOTIVATION,Depression
I've been having itchy eyes,Eye Pain
It feels like winded easily,Shortness of Breath
Constant runny tummy keeps me awake,Diarrhea
Complaining of tossing and turning,Insomnia
My headache is getting unbearable,Headache
I have who are you,Non-Medical
I have been dealing with gasping for air for a week,Shortness of Breath
"Help, I have scracthy throat",Sore Throat
I have been dealing with sneezing for a week,Allergies
I have been dealin gwith chest feels tight for a week,Shortness of Breath
Dealing with eraache,Earache
Seveer nausea,Nausea
I thnik I have stiff joints,Joint Pain
sudden trouble sleeping,Insomnia
Feeling of ringing in ears throughout the day,Earache
is can't sleep something to worry about?,Insomnia
Suffering from dizzy,Dizziness
I HAVE RUNNY TUMMY,Diarrhea
chronic heart hurts,Chest Pain
Mild scratch,Cut
Chronic okay,Non-Medical
Chronic pain in ear,Earache
Recurring no motivation every morning,Depression
I woke up with breakouts,Acne
"Doctor, I have spots on face",Acne
Severe hay fever,Allergies
Painful spots on face on my left side,Acne
PAINFUL TIGHT CHEST ON MY LEFT SIDE,Chest Pain
Not sure if it is sunburn or something else,Burn
Constant ipmples keeps me awake,Acne
Recurirng cut myself every morning,Cut
I can't shake thi spain in tooth,Toothache
My cut myself is getting unberaable,Cut
Not sure if it is pulled a muscle in my back or something else,Back Pain
"Doctor, I have red eyes",Eye Pain
I have been dealing wtih panic attack for a week,Anxiety
I have been dealing with pimples for a week,Acne
Painful pulled a muscle in my back on my left side,Back Pain
Lately I have chest hurts,Chest Pain
Suffering from gum pain,Toothache
Sever epain in my joints,Joint Pain
Suffering from burning up for 3 days,Fever
complaining of panicking,Anxiety
DO YOU THINK ACNE IS SERIOUS?,Acne
Suffering from urge to vomit,Nausea
I have tsomach ache,Abdominal Pain
Severe pain in eye,Eye Pain
It feles like exhausted,Fatigue
My diarrhea is getting unbearable,Diarrhea
Feeling of sore throat throughout the day,Sore Throat
Severe pain in eye,Eye Pain
Do you think upset stomach is serious?,Diarrhea
Is tummy hurts something to worry about?,Abdominal Pain
Please tell me what to do about panicking,Anxiety
Sudden sharp pian in chest,Chest Pain
CONSTANT HEART HURTS KEEPS ME AWAKE,Chest Pain
I woke up with backed up,Constipation
Suffering from zits for 3 days,Acne
Comlpaining of earache,Earache
Constant eye uhrts keeps me awake,Eye Pain
Painful nervous on my left side,Anxiety
I am experiencing skin burn,Burn
Constant coughing keeps me awake,Cough
"Doctor, I hav efeeling sad",Depression
Suffering from pain in ear for 3 days,Earache
Dealing with allergic reaction,Allergies
"Doctor, I have redness on skin",Skin Rash
Lately I have hard sotol,Constipation
Lately I have worried sick,Anxiety
Is burning throat something to worry about?,Sore Throat
I think I havev ertigo,Dizziness
Severe worried sick,Anxiety
do you think pain in ear is serious?,Earache
i can't shake this rash,Skin Rash
"Help, I have hot forehead",Fever
Suffering fromt ouched something hot for 3 days,Burn
Feeling of pain in my bcak throughout the day,Back Pain
Chronic cramps,Abdominal Pain
I think I ahve toothache,Toothache
Is sick to my stomach something to worry about?,Nausea
I think I haveh aven't slept,Insomnia
My problem is bad cough,Cough
I woke up with ringing in ears,Earache
Feeling of zits throughout the day,Acne
i can't shake this frequent bathroom trips,Diarrhea
"HELP, I HAVE COUGHING UP PHLEGM",Cough
evrtigo,Dizziness
It started as a red spots but now it's worse,Skin Rash
Chronic dry cough,Cough
It started as a feeling down but now it's worse,Depression
Severe stomach cramps,Abdominal Pain
Can you help with skin braekout?,Skin Rash
severe what is your name,Non-Medical
Dealing with abdominal pain,Abdominal Pain
It started as a no enegry but now it's worse,Fatigue
Suffering from can't breathe for 3 days,Shortness of Breath
Painful can't sleep on my left side,Insomnia
I have diarrhea,Diarrhea
dealing with tossing and turning,Insomnia
Suffering from loose stools,Diarrhea
I have been dealing with throbbing in my head for a ewek,Headache
My cramps is getting unbearable,Abdominal Pain
Please tell me what to do about sneezing,Allergies
Recurring hopeless every morning,Depression
I am experiencing feeling sad,Depression
I think I hav ebacked up,Constipation
I am experiencing queasy,Nausea
Is feeling sad something to worry about?,Depression
Is aching bones somehting to worry about?,Joint Pain
I have anxious,Anxiety
It started as a red eyes but now it's worse,Eye Pain
Suffering frmo gum pain for 3 days,Toothache
Dealing with short of breath,Shortness of Breath
My problem is pain in my joinst,Joint Pain
i think i have touched something hot,Burn
Please tell me what to do about abdominal pain,Abdominal Pain
"Doctor, I have pounding head",Headache
Suffering from burning up for 3 days,Fever
Dealing with rash,Skin Rash
severe icthy skin,Skin Rash
Chronic allergic reaction,Allergies
Severe feleing efficient,Anxiety
"Help, I have elbows ache",Joint Pain
Is pain in tooth something to worry about?,Toothache
Suffering from burned myself for 3 days,Burn
I can't shake this pressure in chest,Chest Pain
Mild panic attack,Anxiety
Not sure if it is pain in my back or something else,Back Pain
My pressure in chest is getting unbearable,Chest Pain
Constant breakotus keeps me awake,Acne
recurring dizzy every morning,Dizziness
midl high temp,Fever
Mild crying a lot,Depression
Lately I have exhausted,Fatigue
Suffering from hopeless,Depression
Suffering from frequent bathroom trips,Diarrhea
Painful sneezing on my left side,Allergies
I woke up with aching bones,Joint Pain
It feels like ringing in ears,Earache
I've been having skin burn,Burn
aching bones,Joint Pain
Chronic tickle in throat,Cough
Not sure if it is coughing or something else,Cough
I woke up with earache,Earache
Mild sroe throat,Sore Throat
I have been dealing with sick to my stomach for a week,Nausea
severe feel sick,Nausea
Suffering from enrvous for 3 days,Anxiety
My coughing is getting unbearable,Cough
It feels liek feeling sad,Depression
Constant coughing keeps me awake,Cough
Painful hay fever o nmy left side,Allergies
Mild constipation,Constipation
Do you think panicking is serious?,Anxiety
Do you think pimples is serious?,Acne
I woke up with knees hurt,Joint Pain
Painful touched something hot on my left side,Burn
Mild bleeding,Cut
Can you help with hopeless?,Depression
Please tell me what to do about chest hurts,Chest Pain
Painful blurry viison on my left side,Eye Pain
Not sure if it is can't stop coughing or something else,Cough
Suffering from bad cough,Cough
I think I have bleeding,Cut
Constant breathless keeps me awake,Shortness of Breath
I've been having minor burn,Burn
My feeling hot is getting unbearabel,Fever
I woke up witha bdominal pain,Abdominal Pain
Suffering from sleepy all the time for 3 days,Fatigue
Suffering from sharp pain in chest for 3 days,Chest Pain
Lately I have runny tummy,Diarrhea
I am experiencing zits,Acne
it started as a loose stools but now it's worse,Diarrhea
I think I have blocked ear,Earache
Sudden drained,Fatigue
Suffering from backache,Back Pain
suffernig from pimples for 3 days,Acne
I woke up with can't poop,Constipation
Constant loose stools ekeps me awake,Diarrhea
Do you think pressure in chest is seirous?,Chest Pain
Constant burning throat keeps me awake,Sore Throat
I can't shake this tired,Fatigue
Mild scratch,Cut
Complaining of constipated,Constipation
is pain in cehst something to worry about?,Chest Pain
COMPLAINING OF STRESS,Anxiety
i woke up with constipated,Constipation
Constant want to vomit keeps me awake,Nausea
Paifnul tight chest on my left side,Chest Pain
Suffering from pain in ear,Earache
Severe pain when swallowing,Sore Throat
CONSTANT PAIN IN TOOTH KEEPS ME AWAKE,Toothache
my problem is temperature is high,Fever
"Doctor, I have cool",Non-Medical
"Doctor, I have tooth hurts",Toothache
Mild nausea,Nausea
I am experiencing runny nose,Allergies
SEEVRE SNEEZING,Allergies
I have been dealin gwith short of breath for a week,Shortness of Breath
Sudden burning throat,Sore Throat
Dealing with feeling sad,Depression
Complaining of ear hurts,Earache
Seevre testing,Non-Medical
I have cut myself,Cut
Mild pain in my joints,Joint Pain
Complaining of sunburn,Burn
I can't shake this pimples,Acne
Can you help with feeling down?,Depression
I WOKE UP WITH CUT MYSELF,Cut
i woke up with unsteady,Dizziness
Suffering from red eyes for 3 days,Eye Pain
Suffering from winded easily for 3 days,Shortness of Breath
Do you think zits is serious?,Acne
I have unsteady,Dizziness
I can't shake this throat hurts,Sore Throat
Recurring feel sick every morning,Nausea
Painful allergic reaction on my left side,Allergies
chronic pian in chest,Chest Pain
is hot forehead something to worry about?,Fever
I think I have insomnia,Insomnia
Sudden depressed,Depression
I woke up with fatigue,Fatigue
"doctor, i have unsteady",Dizziness
Sudden dry cough,Cough
I THIN KI HAVE ITCHY SKIN,Skin Rash
Recurring backache every morning,Back Pain
my belly pain is getting unbearable,Abdominal Pain
Lately I have panicking,Anxiety
I think I have can't stop coughing,Cough
Constant itchy eyes keeps me awake,Eye Pain
Dealing with runny tummy,Diarrhea
Dealing with heart hurst,Chest Pain
I am experiencing spots on face,Acne
I have been dealing with touched something hot for a week,Burn
Severe sensitive teeth,Toothache
Dealing with burning up,Fever
Not sure if it is pimples or something else,Acne
i can't shake thisf eeling hot,Fever
It started as a crying a lot but now it's worse,Depression
Constant hopeelss keeps me awake,Depression
Dealing with chest feels tight,Shortness of Breath
Feeling of throat is rwa throughout the day,Sore Throat
I have skin burn,Burn
I THINK I HAVE ROOM IS SPINNING,Dizziness
I think I have throbbing in my head,Headache
Mild chills,Fever
breakouts,Acne
Complainin gof scratchy throat,Sore Throat
"Doctor, I have haven't slept",Insomnia
It feels like who are you,Non-Medical
suffering from feeling faint for 3 days,Dizziness
It feels like gum pain,Toothache
I can't shkae this stiff joints,Joint Pain
constant feel sick keeps me awake,Nausea
is breathless something to owrry about?,Shortness of Breath
Is minor burn something to worry about?,Burn
Dealing with dizzy head,Headache
Complaining of pain in eye,Eye Pain
I think I have stomach upset,Nausea
Constant backed up keeps me awake,Constipation
MILD THROAT HURTS,Sore Throat
Suffering from pimpels,Acne
Can you help with tight chest?,Chest Pain
Dealing with lethargic,Fatigue
Please tell me what to do about belly pain,Abdominal Pain
It feels like burning throat,Sore Throat
It feels like stress,Anxiety
My pnaicking is getting unbearable,Anxiety
Painful hot forehead on my left side,Fever
It started as a totohache but now it's worse,Toothache
mild no motviation,Depression
"Doctor, I have knees hurt",Joint Pain
Is cool something ot worry about?,Non-Medical
Complaining of tetsing,Non-Medical
I AM EXPERIENCING STIFF JOINTS,Joint Pain
Suddne blurry vision,Eye Pain
"Doctor, I have ear hurts",Earache
Itf eels like sensitive teeth,Toothache
Recurring lightheaded every morning,Dizziness
Suffering from urge to vomit,Nausea
Constant redness on skin keeps me awake,Skin Rash
Lately I have constipated,Constipation
worried sick,Anxiety
I think I have splitting ehadache,Headache
Chronic hives,Skin Rash
Lately I have lightheaded,Dizziness
dealingw ith nausea,Nausea
it feels liek minor burn,Burn
I woke up with feeling efficient,Anxiety
Suffering from room is spinning,Dizziness
I think I have migraine,Headache
Chronic tummy hurts,Abdominal Pain
Painful burinng up on my left side,Fever
It started as a sore throat but now it's worse,Sore Throat
It feles like crying a lot,Depression
Suffering from scratch for 3 days,Cut
Can you help with pimples?,Acne
Chronic abdominal pain,Abdominal Pain
It feels like haven't slept,Insomnia
toothache,Toothache
I CAN'T SHAKE THIS PAIN IN EAR,Earache
abdominal pain,Abdominal Pain
Not sure if it is pressure in chest or something else,Chest Pain
I have can't sleep,Insomnia
I can't shake this itchy bumps,Skin Rash
Severe zits,Acne
Sudden scratchy throat,Sore Throat
I have been dealing with blocked ear fora  week,Earache
Chronic diarrhea,Diarrhea
Painful lethragic on my left side,Fatigue
Painful hsivering on my left side,Fever
red spots,Skin Rash
Suffering from hay fever for 3 days,Allergies
Sudden hay fever,Allergies
Chornic backed up,Constipation
I woke up with nausea,Nausea
I've been having burning up,Fever
I am experiencing back hurts,Back Pain
Plesae tell me what to do about feeling sad,Depression
it started as a red spots btu now it's worse,Skin Rash
Complaining of pain in chest,Chest Pain
I have sunburn,Burn
"Help, I have dizzy head",Headache
Severe vision problems,Eye Pain
I am experiencing pressur ein chest,Chest Pain
Complaining of vertigo,Dizziness
Complaining of crying a lot,Depression
Severe can't poop,Constipation
SUFFERING FROM TIGHT CHEST,Chest Pain
Suffeirng from toothache,Toothache
TEMPERATURE IS HIGH,Fever
Is elbows ache something to worry abuot?,Joint Pain
I have allergic reaction,Allergies
I have been dealing with splitting headache for a week,Headache
"Help, I have joint pain",Joint Pain
Severe high temp,Fever
Recurring red eyes every mornnig,Eye Pain
Dealing with constipation,Constipation
Not sure if it is tickle in throat or something else,Cough
Not sure if it is wound or somtehing else,Cut
LATELY I HAVE WOUND,Cut
I woke pu with hives,Skin Rash
Suffering fro mlightheaded for 3 days,Dizziness
Is feeling weak something to worry about?,Fatigue
sufefring from acne for 3 days,Acne
Suffering from burning up for 3 days,Fever
Do you think tooth hurts is seroius?,Toothache
usffering from what is your name for 3 days,Non-Medical
Mild hacking cough,Cough
I woke up with wonr out,Fatigue
"Help, I have stiff joints",Joint Pain
Sudden heart hurts,Chest Pain
Not sure if it is hopeless or something else,Depression
Not sure if it is breakouts or somethnig else,Acne
Dealing with insomnia,Insomnia
It feels like can't sleep,Insomnia
 Ithink I have pain in eye,Eye Pain
Severe breakouts,Acne
Chronic spots on afce,Acne
I have cut myself,Cut
I have cane,Acne
My problem is exhausted,Fatigue
Chronic contsipation,Constipation
Mild breakouts,Acne
My proble mis runny nose,Allergies
Can you help with sunburn?,Burn
Suffering from staying awake,Insomnia
I am experiencing anxious,Anxiety
Not sure if it is pain in ear or something else,Earache
Severe pain in tooth,Toothache
My sneezing is getting unbearable,Allergies
Feeling of sunburn throughout the day,Burn
SEVERE THROAT HURTS,Sore Throat
Complaining of dizzy,Dizziness
I CA'NT SHAKE THIS CRYING A LOT,Depression
My trouble sleeping is getting unbearable,Insomnia
"Hel,p I have sneezing",Allergies
"Doctor, I have tickle in throat",Cough
It feels like back hurts,Back Pain
I think I have apin in eye,Eye Pain
"Doctor, I have temperature is ihgh",Fever
i have been dealing with pain in my back for a week,Back Pain
Do you think can't poop is serious?,Constipation
Mlid pain in ear,Earache
Feeling of bleeding throughout the day,Cut
Is pain in tooth something to worry about?,Toothache
My knees hurt is getting unbaerable,Joint Pain
can you help with back hruts?,Back Pain
Dealing with zits,Acne
sudden sensitive teeth,Toothache
My problem is ringing in ears,Earache
Mild temperature si high,Fever
Mild pressure in chest,Chest Pain
Feeling of burning throat throughout the day,Sore Throat
Constant shiveirng keeps me awake,Fever
I can't shake this ringing in ears,Earache
Dealing with tummy hurts,Abdominal Pain
It feels like burinng up,Fever
Mild throat is raw,Sore Throat
Suffering from stiff back,Back Pain
I am exepriencing vision problems,Eye Pain
"Help, I have pain in my back",Back Pain
It started as a chest feels tight but now it's worse,Shortness of Breath
Do you think crying a lot is serious?,Depression
Painful cramps on my left side,Abdominal Pain
Lately I have minor burn,Burn
Not sure if it is zits or sometihng else,Acne
Constant minor burn keeps me awake,Burn
Complaining of sick t omy stomach,Nausea
Chronic sesnitive teeth,Toothache
Is panicking something to worry about?,Anxiety
It feels like eye hutrs,Eye Pain
Do you think anxious is serious?,Anxiety
Deailng with hard to breathe,Shortness of Breath
I can' tshake this fatigue,Fatigue
Mild constipation,Constipation
i ahve spots on face,Acne
I can't shake this upset stomach,Diarrhea
It started as a stomach cramps but now it's worse,Abdominal Pain
"Help, I have wound",Cut
"Help, I have aching bones",Joint Pain
Not surei f it is red eyes or something else,Eye Pain
I have been dealing with hard to breathe for a week,Shortness of Breath
Dealing with feverish,Fever
I've been having feeling weak,Fatigue
I have been dealing with dry cough for a week,Cough
Lately I have hard stool,Constipation
Feeling fo throbbing in my head throughout the day,Headache
It started as a stomach cramps but now it's worse,Abdominal Pain
Sudden itchy eyes,Eye Pain
Constant constipated keeps me awake,Constipation
Severe pressure in chest,Chest Pain
Lately I hvae backed up,Constipation
recurring worried sick every morning,Anxiety
Mild vision problems,Eye Pain
Suffering from vision problems,Eye Pain
I can't shake this blurry vision,Eye Pain
"Help, I have skin burn",Burn
I hvae hi there,Non-Medical
I have been dealing with chills for a week,Fever
CONSTANT RED EYES KEEPS ME AWAKE,Eye Pain
Recurring nausea every omrning,Nausea
It feels likel ightheaded,Dizziness
Chroni cblurry vision,Eye Pain
"Doctor, I have red spots",Skin Rash
Can you help with breakouts?,Acne
I think I have paincking,Anxiety
Complaining of poundin ghead,Headache
Not sure if it is winded easily or something else,Shortness of Breath
Severe rash,Skin Rash
i woke up with haven't slept,Insomnia
My problem is what is your name,Non-Medical
Sudden frequent bathroom rtips,Diarrhea
"Doctor, I have zits",Acne
"Doctor, I have tooth hurts",Toothache
Feeling of gum pain throughout teh day,Toothache
Do you think zits is serious?,Acne
Dealing with crying a lot,Depression
"Help, I hvae feeling down",Depression
I woke up with headache,Headache
Its tarted as a stress but now it's worse,Anxiety
i have sick to my stomach,Nausea
i have been dealing with touched something hot for a week,Burn
CHRONIC FEELING SAD,Depression
I think I have lower back pain,Back Pain
constipaiton,Constipation
what is your name,Non-Medical
Do you think drained is serious?,Fatigue
Feeling of lethargci throughout the day,Fatigue
feeling weak,Fatigue
My lightheaded is getting unbearable,Dizziness
is itchy skins omething to worry about?,Skin Rash
Complaining of hard to breathe,Shortness of Breath
I have stomach upset,Nausea
Severe abdominal pain,Abdominal Pain
Can you help wiht feeling faint?,Dizziness
I've been having runny tummy,Diarrhea
Recurring can't breathe every morning,Shortness of Breath
I HAVE BEEN DEALING WITH SHARP PAIN IN CHSET FOR A WEEK,Chest Pain
Is veritgo something to worry about?,Dizziness
It started as a breakouts but now it's worse,Acne
I've been having touched something hot,Burn
I CAN'T SHAKE THIS BREATHLESS,Shortness of Breath
can't sleep,Insomnia
I hvae been dealing with burning up for a week,Fever
I've been having coughing up phlegm,Cough
Mildr ash,Skin Rash
I have itchy bumps,Skin Rash
It feels like tell me a joke,Non-Medical
i am epxeriencing itchy bumps,Skin Rash
It started as a diarrhea but now it's worse,Diarrhea
Not surei f it is trouble sleeping or something else,Insomnia
Chronic runny nose,Allergies
"Hlep, I have redness on skin",Skin Rash
i have arthritis pain,Joint Pain
suffering from red eyes for 3 days,Eye Pain
lately i have pain in eye,Eye Pain
Feeling fo allergic reaction throughout the day,Allergies
Can you help with cramps?,Abdominal Pain
Not sure if it is acne or something else,Acne
I have nausea,Nausea
I woke up with sunburn,Burn
I HAVE BEEN DEALING WITH BELLY PAIN FOR A WEEK,Abdominal Pain
Not sure if it is constipated or something else,Constipation
"Doctor, I have feverish",Fever
"Help, I ahve earache",Earache
It started as a pain in ear but now it's worse,Earache
Chronic frequent bathroom trpis,Diarrhea
sudden eblly pain,Abdominal Pain
Mild drained,Fatigue
Severe gum pain,Toothache
I think I haev frequent bathroom trips,Diarrhea
I woke up with depressed,Depression
Not sure if it is lower back pain or something else,Back Pain
Painful spots on face on my left side,Acne
My drained is getting unbearable,Fatigue
severe stiff back,Back Pain
Severes ick to my stomach,Nausea
Can yuo help with constipated?,Constipation
Complaining of earache,Earache
dealing with lightheaded,Dizziness
Chronic ringing in ears,Earache
I hvae been dealing with dry cough for a week,Cough
Dealing with adbominal pain,Abdominal Pain
It feels like spots on face,Acne
I am exepriencing allergies,Allergies
"Help, I have tickle in throat",Cough
Chronic ringing in aers,Earache
"Help, I have runny tummy",Diarrhea
My ringing in ears is getting unbearable,Earache
SUFFERING FROM GUM PAIN FOR 3 DAYS,Toothache
I CAN'T SHAKE THIS BURNING THROAT,Sore Throat
"Help, I have runny nose",Allergies
Complaining of haven't slept,Insomnia
Chronic allergic reaction,Allergies
Recurring nausea every morning,Nausea
Is knees hurt something to worrya bout?,Joint Pain
I am experiencing aching bones,Joint Pain
I have pain in chest,Chest Pain
Complainign of allergic reaction,Allergies
Delaing with scratch,Cut
Complaining of pain in ear,Earache
Severe hopeless,Depression
I can't shake this cut myself,Cut
I think I have belly pain,Abdominal Pain
I have been dealign with constipated for a week,Constipation
Constant headache keeps me awake,Headache
i've been having blokced ear,Earache
I woke up with burning throat,Sore Throat
I am experiencing allergies,Allergies
"help, i have throat hurts",Sore Throat
It started as a random text but now it's worse,Non-Medical
I've been having winded easily,Shortness of Breath
I woke up with can't stop coughing,Cough
Lately I have breakouts,Acne
I have been dealing with coughing for a week,Cough
I ahve short of breath,Shortness of Breath
Complaining of redness on skin,Skin Rash
Mild aching bones,Joint Pain
Can you help with sensitive teeth?,Toothache
frequnet bathroom trips,Diarrhea
"Doctor, I have scratchy thorat",Sore Throat
Recurring what is the wetaher every morning,Non-Medical
Dealing with pulled  amuscle in my back,Back Pain
Chronic nseezing,Allergies
IS MY HEAD IS KILLING ME SOMETHING TO WORRY ABOUT?,Headache
Not sure if it is coughing up phlegm or something else,Cough
Recurring can't poop every morning,Constipation
Suffernig from okay for 3 days,Non-Medical
Can you help with pain in eye?,Eye Pain
Constant random text keeps me awake,Non-Medical
I AM EXPERIENCING ALLERGIC REACITON,Allergies
I am expereincing panic attack,Anxiety
Can you help with touched something hot?,Burn
Mild aching bones,Joint Pain
feverish,Fever
I think I have can't poop,Constipation
Mild dizz yhead,Headache
"Help, I have nausae",Nausea
Chronic rnuny tummy,Diarrhea
It started as a scratch but now it's worse,Cut
Do you thinkc onstipated is serious?,Constipation
I have been dealing with can't stop coughing for a week,Cough
Feeling of my head is killing me throughout the day,Headache
My problem is anxious,Anxiety
Sudden trouble sleeping,Insomnia
Suffering fro mrunny nose,Allergies
Recurring tummy hurts every morning,Abdominal Pain
It feels like hi htere,Non-Medical
Painful runny tummy on my left side,Diarrhea
Complaining of sick to my stomach,Nausea
I am experiencing letharigc,Fatigue
I've been having constipated,Constipation
Lately I have winded easily,Shortness of Breath
I have been dealing with pain in ear for a week,Earache
Chronic sleepy all the time,Fatigue
Constant unsteady keeps me awake,Dizziness
My problem is feeling sad,Depression
"Doctor, I have redness on skin",Skin Rash
Can you hlep with eye hurts?,Eye Pain
Complaining of stomach upset,Nausea
Feeling of staying awake throughout the day,Insomnia
Dealing with i like pizza,Non-Medical
complaining of cutm yself,Cut
I have lower bakc pain,Back Pain
Feeling of sleepy all the time throughout hte day,Fatigue
Is ringing in ears something to worry about?,Earache
I've been having constpiation,Constipation
Do you think pai nwhen swallowing is serious?,Sore Throat
Please tell me what to do about pressure in chest,Chest Pain
can you help with insomnia?,Insomnia
Severe tossing and turning,Insomnia
I think I have breakouts,Acne
not sure if it is thanks or something else,Non-Medical
I hvae been dealing with skin burn for a week,Burn
Can yo uhelp with bleeding?,Cut
I've been having stoamch upset,Nausea
Chronic cramps,Abdominal Pain
lately i have no motivation,Depression
Can you help with room is spinning?,Dizziness
i can't shake this tickle in throat,Cough
Do you think can't sleep is serious?,Insomnia
I have random text,Non-Medical
Lately I have tossing and turning,Insomnia
Painful exhausted on my left side,Fatigue
Feeling of goodbye throughout the day,Non-Medical
Do you think tummy hurts is serious?,Abdominal Pain
Laetly I have goodbye,Non-Medical
I am experiencing breathless,Shortness of Breath
Can you help with back hurts?,Back Pain
Suffering from hard to breathe for 3 days,Shortness of Breath
Suffering from chest feels tight for 3 days,Shortness of Breath
I think I have trouble sleeping,Insomnia
Recurring nausea every morning,Nausea
I've been havings cratchy throat,Sore Throat
Is sick to my stomach something to worry about?,Nausea
SUFFERING FROM EARACHE,Earache
I can't shake this high temp,Fever
Mild itchy skin,Skin Rash
Mild runny nose,Allergies
Please tell me what to do about thank you,Non-Medical
Is frequent bathroom trips something to worry about?,Diarrhea
I think I have redness on skin,Skin Rash
my problem is cut myself,Cut
Sudden pulled  amuscle in my back,Back Pain
DEALING WITH BREAKOUTS,Acne
I can't shake this exhausted,Fatigue
Complaining of pain in my back,Back Pain
Not sure if it is feeling weak or something else,Fatigue
My constipated is getting unbearbale,Constipation
DO YOU THINK RUNYN NOSE IS SERIOUS?,Allergies
I have allergies,Allergies
